time_stamp,actuator_state
1624868805.02396,uv_off
1624868806.25502,fan_off
1624868807.63162,fan_on
1624868807.78742,fan_off
1624868808.30084,fan_on
1624868809.16248,fan_off
1624868809.71552,fan_on
1624868809.98216,fan_off
1624869118.35342,fan_on
1624869119.2606,fan_off
1624870034.57464,fan_on
1624870034.70502,fan_off
1624870317.05792,fan_on
1624870317.16382,fan_off
1624870675.51162,fan_on
1624870675.91605,fan_off
1624870676.43374,fan_on
1624870676.72256,fan_off
1624870677.24667,fan_on
1624870677.41481,fan_off
1624870677.99395,fan_on
1624870678.31309,fan_off
1624870678.47391,fan_on
1624870678.80634,fan_off
1624870682.24357,uv_on
1624870682.42184,uv_off
1624870683.94974,uv_on
1624870684.10358,uv_off
1624870684.96742,uv_on
1624870685.10496,uv_off
1624870685.65509,uv_on
1624870685.84095,uv_off
1624870686.40166,water_on
1624870686.58358,water_off
1624870687.26294,light_on
1624870687.41918,light_off
1624870688.50864,fan_on
1624870688.85782,fan_off
1624870695.30877,fan_on
1624870695.46183,fan_off
1624870695.91864,water_on
1624870696.03284,water_off
1624870696.52731,uv_on
1624870696.68535,uv_off
1624870697.36683,light_on
1624870697.5292,light_off
1624870698.40317,light_on
1624870698.54256,light_off
1624870699.18176,light_on
1624870699.30735,light_off
1624870699.80793,light_on
1624870699.95663,light_off
1624870700.15297,light_on
1624870700.3292,light_off
1624870700.49269,light_on
1624870700.6833,light_off
1624870700.85651,light_on
1624870701.01979,light_off
1624870701.21484,light_on
1624870704.38241,light_off
1624870704.54863,light_on
1624870704.74293,light_off
1624870704.92555,light_on
1624870705.11172,light_off
1624870705.26838,light_on
1624870705.4348,light_off
1624870705.6074,light_on
1624870705.78181,light_off
1624870705.97015,light_on
1624870706.41035,light_off
1624870709.38748,fan_on
1624870709.52626,fan_off
1624870710.11853,fan_on
1624870710.25606,fan_off
1624870710.42454,fan_on
1624870710.62186,fan_off
1624870710.9657,fan_on
1624870711.14746,fan_off
1624870711.29757,fan_on
1624870711.8232,fan_off
1624870712.20775,fan_on
1624870712.40784,fan_off
1624870712.5648,fan_on
1624870712.6828,fan_off
1624870712.91667,fan_on
1624870713.1349,fan_off
1624870713.53874,fan_on
1624870713.70779,fan_off
1624870713.8491,fan_on
1624870714.01379,fan_off
1624870714.23707,fan_on
1624870714.76446,fan_off
1624870715.39563,fan_on
1624870715.71028,fan_off
1624870716.05721,fan_on
1624870716.33489,fan_off
1624870716.54471,fan_on
1624870716.90533,fan_off
1624870717.06283,fan_on
1624870717.24149,fan_off
1624870717.46321,fan_on
1624870717.66671,fan_off
1624870717.84277,fan_on
1624870718.05739,fan_off
1624870718.27378,fan_on
1624870718.56777,fan_off
1624870718.94436,fan_on
1624870719.47726,fan_off
1624870719.83196,fan_on
1624870720.0737,fan_off
1624870720.22516,fan_on
1624870720.42281,fan_off
1624870720.57453,fan_on
1624870720.73746,fan_off
1624870720.91323,fan_on
1624870721.10819,fan_off
1624870721.9344,fan_on
1624870722.29035,fan_off
1624870776.31839,fan_on
1624870776.73631,fan_off
1624870777.18737,fan_on
1624870777.67304,fan_off
1624870778.81457,fan_on
1624870779.34065,fan_off
1624870780.2525,fan_on
1624870780.78073,fan_off
1624870782.69704,fan_on
1624870783.26677,fan_off
1624870785.34812,fan_on
1624870786.05772,fan_off
1624870787.60849,fan_on
1624870788.1924,fan_off
1624870789.11053,fan_on
1624870789.4455,fan_off
1624870789.80737,fan_on
1624870790.0305,fan_off
1624870790.41823,fan_on
1624870790.57557,fan_off
1624870790.95282,fan_on
1624870791.09566,fan_off
1624870791.25559,fan_on
1624870791.30752,fan_off
1624870791.46428,fan_on
1624870791.72803,fan_off
1624870791.9464,fan_on
1624870792.74237,fan_off
1624870793.33971,fan_on
1624870793.60821,fan_off
1624870799.70965,fan_on
1624870799.94639,fan_off
1624870800.27976,fan_on
1624870800.44467,fan_off
1624870800.62845,fan_on
1624870800.81232,fan_off
1624870801.19658,fan_on
1624870801.43228,fan_off
1624871058.75127,fan_on
1624871070.12325,fan_off
1624871070.52745,fan_on
1624871070.85627,fan_off
1624871103.52349,fan_on
1624871104.29337,fan_off
1624871104.79532,fan_on
1624871105.15555,fan_off
1624871105.539,fan_on
1624871105.89703,fan_off
1624871171.73568,fan_on
1624871224.26475,fan_off
1624871329.18217,fan_on
1624871332.26478,fan_off
1624871333.07666,fan_on
1624871344.17819,fan_off
1624871347.03501,fan_on
1624871350.07892,fan_off
1624871355.911,fan_on
1624871357.64876,fan_off
1624871377.94913,fan_on
1624871444.79957,fan_off
1624871493.27599,fan_on
1624871507.24176,fan_off
1624871509.45751,fan_on
1624871512.63884,fan_off
1624871516.40369,fan_on
1624871522.84942,fan_off
1624871523.87638,fan_on
1624871524.4675,fan_off
1624871525.91568,fan_on
1624871527.09594,fan_off
1624871528.71884,fan_on
1624871531.04887,fan_off
1624871531.6371,fan_on
1624871532.17769,fan_off
1624871532.62531,fan_on
1624871533.02392,fan_off
1624871533.205,fan_on
1624871533.37816,fan_off
1624871533.53781,fan_on
1624871534.37782,fan_off
1624871534.52956,fan_on
1624871535.31567,fan_off
1624871535.47704,fan_on
1624871536.86808,fan_off
1624871546.41363,fan_on
1624871663.83817,fan_on
1624871663.96579,fan_off
1624871670.73526,fan_off
1624871671.13598,fan_on
1624871674.47274,fan_on
1624871674.66274,fan_off
1624871675.3858,fan_on
1624871677.36056,fan_off
1624871677.81898,fan_on
1624871824.66947,fan_off
1624871824.9614,fan_on
1624871851.3561,fan_off
1624871851.52932,fan_on
1624871852.88721,fan_off
1624871853.05342,fan_on
1624871854.71516,fan_off
1624871858.96577,fan_on
1624871859.42615,fan_off
1624871860.21486,fan_on
1624871862.06743,fan_off
1624871862.62593,fan_on
1624871863.90411,fan_off
1624871876.97569,fan_on
1624871877.43835,fan_off
1624871890.94999,fan_on
1624871891.35233,fan_off
1624871891.96172,fan_on
1624871893.00288,fan_off
1624871893.3626,fan_on
1624871894.24444,fan_off
1624871897.58745,fan_on
1624871897.81582,fan_off
1624871898.15157,fan_on
1624871898.61774,fan_off
1624871898.76172,fan_on
1624871899.16496,fan_off
1624871899.32002,fan_on
1624871899.47652,fan_off
1624871899.7933,fan_on
1624871899.92469,fan_off
1624871900.0806,fan_on
1624871900.23246,fan_off
1624871900.38245,fan_on
1624871901.00098,fan_off
1624871901.27865,fan_on
1624871901.54468,fan_off
1624871901.55388,fan_on
1624871901.69357,fan_off
1624871901.83497,fan_on
1624871901.97955,fan_off
1624871902.31846,fan_on
1624871902.95985,fan_off
1624871903.44485,fan_on
1624871903.6156,fan_off
1624871903.77087,fan_on
1624871903.91801,fan_off
1624871904.52431,fan_on
1624871904.98561,fan_off
1624871907.99599,fan_on
1624871909.04501,fan_off
1624871909.44991,fan_on
1624871914.61476,fan_off
1624871915.21335,fan_on
1624871916.83753,fan_off
1624871937.68878,water_on
1624871938.77643,water_off
1624871939.42806,uv_on
1624871940.34444,uv_off
1624871941.17508,water_on
1624871941.39598,water_off
1624871942.83934,fan_on
1624871943.59304,fan_off
1624871943.74324,fan_on
1624871943.85826,fan_off
1624871944.21397,fan_on
1624871944.4557,fan_off
1624871944.63398,fan_on
1624871945.09597,water_on
1624871945.3719,water_off
1624871945.63291,fan_off
1624871945.86432,water_on
1624871946.10084,fan_on
